product_category_name_english,total_orders,total_items_sold,total_revenue,avg_price,avg_freight_value,avg_review_score
health_beauty,8647,9465,1412089.53,130.28333016376124,18.907322768092975,4.161841873569291
watches_gifts,5495,5859,1264333.12,199.04027649769586,16.75305342208568,4.041133299197815
bed_bath_table,9272,10953,1225209.26,93.43876198301835,18.42184789555373,3.8802611156760705
sports_leisure,7530,8431,1118256.91,113.25495789348832,19.38137350255011,4.13930731823034
computers_accessories,6530,7644,1032723.77,116.26433935112506,18.838194662480376,3.9676870748299318
furniture_decor,6307,8160,880329.92,87.24604044117648,20.637528186274512,3.915012254901961
housewares,5743,6795,758392.25,90.60024871228843,21.010089771891096,4.084326710816777
cool_stuff,3559,3718,691680.89,164.12159763313608,21.914144701452393,4.162183969876278
auto,3810,4140,669454.75,139.84701690821257,21.85702898550725,4.07524154589372
garden_tools,3448,4268,567145.68,110.23788191190252,22.645360824742266,4.0575210871602625
toys,3804,4030,547061.06,116.94453598014888,18.8026253101737,4.176550868486352
baby,2809,2982,466727.65,134.27962441314554,22.235348759222,4.046780684104628
perfumery,3086,3340,443171.63,116.8097754491018,15.87634131736527,4.205838323353293
telephony,4093,4430,379202.62,69.94587584650112,15.652909706546275,3.970880361173815
office_furniture,1254,1668,335211.36,160.7639748201439,40.202068345323745,3.4838129496402876
stationery,2264,2466,269575.05,90.74967153284672,18.567055961070558,4.219991889699919
pet_shop,1688,1924,250614.2,110.02891891891893,20.227941787941788,4.196985446985447
computers,177,199,228349.76,1098.9152763819095,48.57095477386935,4.155778894472362
musical_instruments,611,651,202187.12,283.12709677419355,27.45219662058372,4.182795698924731
electronics,2517,2729,200723.09,56.81345914254305,16.73842433125687,4.038842066691096
small_appliances,609,658,198108.47,277.74182370820665,23.334878419452888,4.193009118541034
unknown,1392,1537,197695.69,111.07783344176968,17.546558230318805,3.9079375406636303
fashion_bags_accessories,1820,1985,179888.29,75.22891183879094,15.394911838790932,4.172544080604534
luggage_accessories,1019,1077,168778.12,128.78517177344474,27.926174558960074,4.336118848653667
consoles_games,1018,1089,167097.73,135.90759412304865,17.53384756657484,4.1005509641873275
construction_tools_construction,736,916,162382.01,155.14027292576418,22.132663755458516,4.067685589519651
home_appliances_2,227,231,118208.52,467.3331168831169,44.392077922077924,4.138528138528138
home_construction,483,596,95022.37,136.58988255033557,22.843624161073823,3.9312080536912752
home_appliances,747,754,93301.78,104.55236074270556,19.19005305039788,4.205349248452697
furniture_living_room,414,495,85045.07,136.0620202020202,35.74620202020202,3.894949494949495
agro_industry_and_commerce,177,206,76203.3,342.55388349514567,27.36504854368932,4.087378640776699
home_confort,392,429,66438.22,135.21783216783217,19.64981351981352,3.836829836829837
